Trait,Trait description,# lines measured,Phenotyped_sex,Reference
Triglyceride gnotobiotic (M),"Mean combined triglyceride (TAG) content after glycerol substraction extracted from 5 adult flies that possessed a microbiome, after controlling for dry weight. All micro-organisms were purged from egg-surfaces via dechorionation and larvae were reared on medium supplemented with Acetobacter pomorum, Acetobacter tropicalis, Lactobacillus brevis, Lactobacillus fructivorans and Lactobacillus plantarum. All are common commensal bacteria that make up a large proportion of the D. melanogaster microbiome. Higher values indicate higher TAG content.",85,Male,Dobson et al (2015) Nature Communications
Orient towards female (M),"Mean number of times a DGRP male orientated towards a virgin female, detected by scan sampling 30 times over a 15 minute period. Higher values indicate a greater number of orientations, and potentially more persistent courtship.",166,Male,Gaertner et al (2015) G3
Approach female (M),"Mean number of times a DGRP male approached a virgin female, detected by scan sampling 30 times over a 15 minute period. Higher values indicate a greater number of approaches, and potentially more persistent courtship.",166,Male,Gaertner et al (2015) G3
Wing display frequency (M),"Mean number of times a DGRP male extended their wing at a 90 degree angle in rapid vibration while in the presence of a virgin female, detected by scan sampling 30 times over a 15 minute period. Higher values indicate a greater number of wing displays, and potentially more persistent courtship.",166,Male,Gaertner et al (2015) G3
Genital licking frequency (M),"Mean number of genital licks by DGRP male while courting a virgin female, detected by scan sampling 30 times over a 15 minute period. Higher values indicate a greater frequency of genital licking, and potentially more persistent courtship.",166,Male,Gaertner et al (2015) G3
Attempted copulation frequency (M),"Mean number of attempted copulations by DGRP male while courting a virgin female, detected by scan sampling 30 times over a 15 minute period. Higher values indicate a greater frequency of copulation attempts, and potentially more persistent courtship.",166,Male,Gaertner et al (2015) G3
Mating latency  (M),"Mean latency until a DGRP male was observed copulating with a virgin female, detected by scan sampling 30 times over a 15 minute period. Lower values indicate males that began mating faster, which could be interpreted as males that are more attractive to females.",166,Male,Gaertner et al (2015) G3
Caffeine resistance (F),"Mean time, in hours, adult females survived during continuous exposure to medium supplemented with 1% caffeine. Higher values indicate greater resistance to caffeine",164,Female,Najarro et al (2015) PLOS Genetics
Cold hardiness (F),Mean proportion of surviving adults 24 hours post exposure to an hour of cold shock (-5°C). Higher values indicate flies that are more resistant to cold shock.,139,Female,Freda et al (2017) Integrative and Comparative Biology
Cold hardiness (M),Mean proportion of surviving adults 24 hours post exposure to an hour of cold shock (-5°C). Higher values indicate flies that are more resistant to cold shock.,139,Male,Freda et al (2017) Integrative and Comparative Biology
Boric acid resistance (F),"Mean lifespan, measured in hours, for mated females exposed to media supplemented with 1.5% boric acid (BH3O3, BP168). Boric acid is a common household pesticide. Higher values indicate a greater resistance to boric acid.",163,Female,"Najarro, Hackett and Macdonald (2017) G3"
Deltamethrin resistance (M),"Mean survival 48 hours after exposure to deltamethrin, a pyrethroid pesticide. Higher values indicate greater resistance to deltamethrin.",195,Male,Duneau et al (2018) G3
Parathion resistance (M),"Mean survival 48 hours after exposure to parathion, an organophosphate pesticide. Higher values indicate greater resistance to parathion.",194,Male,Duneau et al (2018) G3
Kallithea resistance LT50 (F),Median number of days adult flies survived post infection with Kallithea virus (50 nL of 105 ID50 originally injected). Measured as LT50 - the point at which 50% of 10 flies died. Higher values indicate greater resistance to Kallithea virus.,119,Female,Palmer et al (2018) PLOS Pathogens
Kallithea resistance LT50 (M),Median number of days adult flies survived post infection with Kallithea virus (50 nL of 105 ID50 originally injected). Measured as LT50 - the point at which 50% of 10 flies died. Higher values indicate greater resistance to Kallithea virus.,119,Male,Palmer et al (2018) PLOS Pathogens
Kallithea viral load (F),"Mean viral titre of kallithea virus found in groups of 10 adult females, 8 days after injection of 50 nL of 105 ID50 KV.  This is a measure of viral load, with higher values indicating greater viral load.",119,Female,Palmer et al (2018) PLOS Pathogens
Starvation resistance  (F),"Mean hours survived on inedible food medium, used as a measure of starvation resistance. Higher values indicate flies that exhibited greater starvation resistance.",168,Female,Everman et al (2019) Genetics
Starvation resistance  (M),"Mean hours survived on inedible food medium, used as a measure of starvation resistance. Higher values indicate flies that exhibited greater starvation resistance.",168,Male,Everman et al (2019) Genetics
Wing centroid size _Houle (F),Mean left wing centroid size for flies measured in the Houle lab. Images were taken of live flies using the 'Wingmachine' system. Higher values indicate larger wings.,184,Female,Pitchers et al (2019) Evolution
Wing centroid size _Houle (M),Mean left wing centroid size for flies measured in the Houle lab. Images were taken of live flies using the 'Wingmachine' system. Higher values indicate larger wings.,185,Male,Pitchers et al (2019) Evolution
Wing centroid size _Dworkin (F),Mean left wing centroid size for flies measured in the Dworkin lab. Images were taken of dissected wings using an Olympus microscope. Higher values indicate larger wings.,171,Female,Pitchers et al (2019) Evolution
Wing centroid size _Dworkin (M),Mean wing centroid size for flies measured in the Dworkin lab. Images were taken of dissected wings using an Olympus microscope. Higher values indicate larger wings.,172,Male,Pitchers et al (2019) Evolution
Activity (M),"Mean distance moved during a 10-min trial in a circular arena (16mm diameter x 6mm height), following 24 hrs of exposure to a 5% sucrose solution diet. Higher values indicate more active flies.",172,Male,Rohde et al (2019) Genetics
Activity MPH (M),"Mean distance moved during a 10-min trial in a circular arena (16mm diameter x 6mm height), following 24 hrs of exposure to a 5% sucrose solution diet, supplemented with MPH (1.5 mg ml^-1). MPH, methylphenidate, is a drug used to treat attention-deficit/hyperactivity disorder (ADHD) in humans. Higher values indicate more active flies.",172,Male,Rohde et al (2019) Genetics
MPH effect on activity (M),Mean difference in distance moved during a 10-min trial in a circular arena (16mm diameter x 6mm height) between flies fed a control 5% sucrose solution and a 5% sucrose solution supplemented with 1.5 mg ml^-1 methylphenidate (MPH). MPH is a drug used to treat the symptoms of attention-deficit/hyperactivity disorder (ADHD) in humans. Positive values indicate greater activity when flies were supplemented with MPH.,172,Male,Rohde et al (2019) Genetics
E faecalis resistance (M),Mean proportion of adult flies that were alive 5 days after infection with the bacterial pathogen E. faecalis. Higher values indicate greater resistance to E. faecalis,199,Male,Chapman et al (2020) Genes
Fertility 25C (M),Mean proportion of males that produced viable larvae. Males were reared at 25C. Higher values indicates greater fertility.,126,Male,Zwoinska et al (2020) Frontiers in Genetics
Fertility 27C (M),Mean proportion of males that produced viable larvae. Males were reared at 27C. Higher values indicates greater fertility,124,Male,Zwoinska et al (2020) Frontiers in Genetics
Fertility 29C (M),Mean proportion of males that produced viable larvae. Males were reared at 29C. Higher values indicates greater fertility,122,Male,Zwoinska et al (2020) Frontiers in Genetics
Fertility thermal susceptibility (M),"Mean slope of the change in male fertility (the proportion of males that produced viable larvae), between 25C, 27C and 29C rearing conditions. Lower slope values indicate a greater decrease in fertility with an increase in temperature. This is a measure of thermal susceptibility.",127,Male,Zwoinska et al (2020) Frontiers in Genetics
