Trait,Female_Evid_Ratio,Male_Evid_Ratio,Overall_Evid_Ratio,Diff_Evid_Ratio,Concord_Evid_Ratio,Female_notable,Male_notable,Overall_notable,Diff_notable,Concord_notable,Trait_nice,Life_stage,Trait guild,study_ID,Reference,Trait description,Trait_Sex,position
cold.shock.acclimated.old.f,0.325490845828846,1.33849751534639,0.558846453624318,0.35501355013550134,0.8627876984643847,No,No,No,No,No,Cold shock acclimated old (F),Adult,Temperature related,32,Everman and Morgan (2017) Evolution,"Mean proportion of surviving 28-day old adult flies, 24 hours after a one-hour cold shock treatment at -6C. Flies were acclimated at 4C for two hours immediately preceeding cold shock. Higher values indicate greater resistance to cold shock.",Traits measured in females,447
cold.shock.acclimated.old.m,0.0521470375484974,15.563146997929607,0.8300354569369781,0.014327374160010143,0.11601267364917422,No,No,No,Yes,No,Cold shock acclimated old (M),Adult,Temperature related,32,Everman and Morgan (2017) Evolution,"Mean proportion of surviving 28-day old adult flies, 24 hours after a one-hour cold shock treatment at -6C. Flies were acclimated at 4C for two hours immediately preceeding cold shock. Higher values indicate greater resistance to cold shock.",Traits measured in males,448
cold.shock.acclimated.young.f,0.17994100294985252,0.4143021302925837,0.15190784737221022,0.5511391177896268,1.8082664834272786,No,No,No,No,No,Cold shock acclimated young (F),Adult,Temperature related,32,Everman and Morgan (2017) Evolution,"Mean proportion of surviving 7-day old adult flies, 24 hours after a one-hour cold shock treatment at -6C. Flies were acclimated at 4C for two hours immediately preceeding cold shock. Higher values indicate greater resistance to cold shock.",Traits measured in females,449
cold.shock.acclimated.young.m,0.046504022499836484,0.29701686121919585,0.041666666666666664,0.3045250713412148,2.9512397261593315,No,No,No,No,No,Cold shock acclimated young (M),Adult,Temperature related,32,Everman and Morgan (2017) Evolution,"Mean proportion of surviving 7-day old adult flies, 24 hours after a one-hour cold shock treatment at -6C. Flies were acclimated at 4C for two hours immediately preceeding cold shock. Higher values indicate greater resistance to cold shock.",Traits measured in males,450
cold.shock.old.f,0.18404499370976096,0.027947317699967878,0.02027802576202015,2.58824848620767,4.741415182589337,No,No,Yes,No,No,Cold shock old (F),Adult,Temperature related,32,Everman and Morgan (2017) Evolution,"Mean proportion of surviving 28-day old adult flies, 24 hours after a one-hour cold shock treatment at -6C. Higher values indicate greater resistance to cold shock.",Traits measured in females,451
cold.shock.old.m,0.9074868860276586,0.20075046904315197,0.316330728095434,2.7941664690538297,1.0667195187126923,No,No,No,No,No,Cold shock old (M),Adult,Temperature related,32,Everman and Morgan (2017) Evolution,"Mean proportion of surviving 28-day old adult flies, 24 hours after a one-hour cold shock treatment at -6C. Higher values indicate greater resistance to cold shock.",Traits measured in males,452
cold.shock.young.f,0.02386894477506879,0.029402303287653607,0.0028832894571894194,0.807909604519774,18.78502641378311,Yes,No,Yes,No,No,Cold shock young (F),Adult,Temperature related,32,Everman and Morgan (2017) Evolution,"Mean proportion of surviving 7-day old adult flies, 24 hours after a one-hour cold shock treatment at -6C. Higher values indicate greater resistance to cold shock.",Traits measured in females,453
cold.shock.young.m,0.015421717331979438,0.016324715746681064,0.0010636301069886754,0.8841262364578427,31.50753196976089,Yes,Yes,Yes,No,No,Cold shock young (M),Adult,Temperature related,32,Everman and Morgan (2017) Evolution,"Mean proportion of surviving 7-day old adult flies, 24 hours after a one-hour cold shock treatment at -6C. Higher values indicate greater resistance to cold shock.",Traits measured in males,454
critical.thermal.max.2020.f,0.17061750073163595,124.98425196850394,5.017299736743136,0.0071127336816264874,0.17837500687231994,No,Yes,No,Yes,No,Critical thermal max  (F),Adult,Temperature related,62,Lecheta et al (2020) Frontiers in Genetics,"The critical thermal maximum, which is defined as the mean temperature in °C at which a fly loses motor function. Higher values indicate a higher CT max.",Traits measured in females,455
critical.thermal.max.2020.m,0.0828370330265295,11.4031007751938,0.9605440509741453,0.022494887525562373,0.16930259139378673,No,No,No,Yes,No,Critical thermal max  (M),Adult,Temperature related,62,Lecheta et al (2020) Frontiers in Genetics,"The critical thermal maximum, which is defined as the mean temperature in °C at which a fly loses motor function. Higher values indicate a higher CT max.",Traits measured in males,456
critical.thermal.min.2020.f,0.5979227004893638,8.148084619782733,2.8031851675778463,0.14992094293517322,0.6713834718690428,No,No,No,No,No,Critical thermal min  (F),Adult,Temperature related,62,Lecheta et al (2020) Frontiers in Genetics,"The critical thermal minimum, which is defined as the mean temperature in °C at which a fly loses motor function. Higher values indicate a higher CT min.",Traits measured in females,457
critical.thermal.min.2020.m,0.49812734082397003,16.837235228539576,3.8780487804878048,0.08747366274723034,0.5414993296886509,No,No,No,No,No,Critical thermal min  (M),Adult,Temperature related,62,Lecheta et al (2020) Frontiers in Genetics,"The critical thermal minimum, which is defined as the mean temperature in °C at which a fly loses motor function. Higher values indicate a higher CT min.",Traits measured in males,458
critical.thermal.min.23C.m,0.48203038162282325,1.4461091576211589,0.7685420581408202,0.45335634480879283,0.8801585749244074,No,No,No,No,No,Critical thermal min 23C (M),Adult,Temperature related,82,Orsted et al (2018) Evolution,"The critical thermal minimum (CT min), which is defined as the temperature at which a complete cessation of movement is observed as a result of the fly entering chill coma. Egg-to-adult development occurred at 23C. Higher values indicate a higher CT min.",Traits measured in males,459
critical.thermal.min.developmental.stability.m,4.2648897663705165,0.14171542742971313,0.7293558149589278,12.733905579399142,0.3640899526100231,No,No,No,No,No,Critical thermal min developmental stability (M),Adult,Temperature related,82,Orsted et al (2018) Evolution,"Flies were reared at five different temperatures during development, after which adult critical thermal minimums (CT min) were measured. Developmental stability across environments is the consistency of within-environment variation in CT min across environments. The authors calculate this by taking the highest coefficient of variation (CV) in CT min at any rearing temperature, minus the lowest CV at any other given rearing temperature. Lower values indicate greater developmental stability across rearing temperatures.",Traits measured in males,460
critical.thermal.min.plasticity.m,0.04595672354056351,0.5216357584403234,0.06944722946327117,0.2188618877123486,1.804063131290727,No,No,No,No,No,Critical thermal min plasticity (M),Adult,Temperature related,82,Orsted et al (2018) Evolution,"Flies were reared at fiev different temperatures during development, after which adult critical thermal minimums were measured (CT min). Reaction norms for each DGRP line were calculated using the linear model lm (CTmin ~ Rearing temperature). The absolute value of the slope provides a measure of the plastic response to temperature. Higher values indicate greater thermal plasticity.",Traits measured in males,461
critical.thermal.min.plasticity.variation.m,0.19922050667066407,0.056314781804977884,0.03439358675976209,2.0876109610189117,3.9572579795006546,No,No,No,No,No,Critical thermal min plasticity variation (M),Adult,Temperature related,82,Orsted et al (2018) Evolution,"Flies were reared at fiev different temperatures during development, after which adult critical thermal minimums (CT min) were measured. Reaction norms for each DGRP line were calculated using the linear model lm (CTmin ~ Rearing temperature). The standard error of the slope provides a measure of the extent to which the same genotype can produce the same plastic response consistently. Higher values indicate greater variance in thermal plasticity.",Traits measured in males,462
critical.thermal.min.within.environment.variation.plasticity.m,4.858659831563529,0.018005980785137113,0.2606366214938544,66.22689075630252,0.2229976335091338,No,Yes,No,Yes,No,Critical thermal min within environment variation plasticity (M),Adult,Temperature related,82,Orsted et al (2018) Evolution,"Flies were reared at five different temperatures during development, after which adult critical thermal minimums were measured. This trait captures how consistently a genotype produces the same phenotype at a given rearing temperature. Higher values indicate greater variance in phenotype within a rearing temperature.",Traits measured in males,463
developmental.acclimation.cold.exposure.f,2.088206909862961,0.42716974400142715,0.9639130968454646,3.0910253132191254,0.7521811129961202,No,No,No,No,No,Developmental acclimation cold exposure (F),Adult,Temperature related,39,Gerken et al (2015) PNAS,"Mean change in proportion of adult flies surviving one hours of exposure to -6°C, when rearing temperature was changed from 25°C to 18°C. Higher values indicate greater developmental acclimation capacity to cold exposure.",Traits measured in females,464
developmental.acclimation.cold.exposure.m,0.4979870798614362,0.08122719286390052,0.10398123231905057,3.07955124936257,1.7963129390511698,No,No,No,No,No,Developmental acclimation cold exposure (M),Adult,Temperature related,39,Gerken et al (2015) PNAS,"Mean change in proportion of adult flies surviving one hour of exposure to -6°C, when rearing temperature was changed from 25°C to 18°C. Higher values indicate greater developmental acclimation capacity to cold exposure.",Traits measured in males,465
fertility.thermal.susceptibility.m,0.7241379310344828,1.3980815347721822,1.0163831127914305,0.6230472712517752,0.9482543640897756,No,No,No,No,No,Fertility thermal susceptibility (M),Adult,Temperature related,121,Zwoinska et al (2020) Frontiers in Genetics,"Mean slope of the change in male fertility (the proportion of males that produced viable larvae), between 25C, 27C and 29C rearing conditions. Lower slope values indicate a greater decrease in fertility with an increase in temperature. This is a measure of thermal susceptibility.",Traits measured in males,466
rapid.cold.hardening.18C.f,1.8333628475296617,1.2166805209199225,1.7691242644513672,1.3344032681645754,1.0592035830657147,No,No,No,No,No,Rapid cold hardening 18C (F),Adult,Temperature related,39,Gerken et al (2015) PNAS,"Rapid cold hardening; a type of phenotypic plasticity that allows ectotherms to quickly enhance cold tolerance in response to brief chilling (lasting minutes to hours). This was measured by exposing one group of flies to a mild pre-treatment temperature (4 degrees C) before exposing them to a cold temperature (-6 degrees C), while another group of flies was immediately exposed to the cold temperature. RCH = prop survival after hardening – prop survival without hardening. These flies were reared at 18C. Higher values indicate a greater plastic response.",Traits measured in females,467
rapid.cold.hardening.18C.m,1.3735350838154576,0.22549019607843138,0.46802458941187264,3.5364332293734053,0.8190731640321939,No,No,No,No,No,Rapid cold hardening 18C (M),Adult,Temperature related,39,Gerken et al (2015) PNAS,"Rapid cold hardening; a type of phenotypic plasticity that allows ectotherms to quickly enhance cold tolerance in response to brief chilling (lasting minutes to hours). This was measured by exposing one group of flies to a mild pre-treatment temperature (4 degrees C) before exposing them to a cold temperature (-6 degrees C), while another group of flies was immediately exposed to the cold temperature. RCH = prop survival after hardening – prop survival without hardening. These flies were reared at 18C. Higher values indicate a greater plastic response.",Traits measured in males,468
