Trait,Trait guild,Trait description,Reference,Life_stage
starvation.resistance.standard.diet.m,Stress response,"Survival time in hours for adult flies that were first flies maintained on the laboratories standard diet (carbs:119.15g/L, protein:52g/L, fat:2.5g/L) for 10 days, then starved in vials supplied only with water. Higher values indicate greater starvation resistance.",Francis et al (2021) G3,Adult
starvation.resistance.variance.f,Stress response,"Mean variance (the log of the within line standard deviation; ln(σE)) in the hours flies survived in culture vials containing non-nutritive medium. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable starvation resistance response, and therefore greater micro-environmental plasticity. Note that the data presented in this study were originally collected by Mackay et al (2012).",Morgante et al (2015) Scientific Reports,Adult
starvation.resistance.variance.m,Stress response,"Mean variance (the log of the within line standard deviation; ln(σE)) in the hours flies survived in culture vials containing non-nutritive medium. Variance is used as a measure of micro-environmental plasticity. Higher values indicate a more variable starvation resistance response, and therefore greater micro-environmental plasticity. Note that the data presented in this study were originally collected by Mackay et al (2012).",Morgante et al (2015) Scientific Reports,Adult
starvation.resistance.yeast.poor.diet.f,Stress response,"Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared on food with 0.5% yeast content (dietary restricted).  Higher values indicate flies that exhibited greater starvation resistance.",Nelson et al (2016) BMC Genomics,Adult
starvation.resistance.yeast.rich.diet.f,Stress response,"Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared on food with 5% yeast content (ab libitum diet).  Higher values indicate flies that exhibited greater starvation resistance.",Nelson et al (2016) BMC Genomics,Adult
starvation.resistance.young.f,Stress response,"Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared at 25C and the stravation trial started when adults were 7-days old. Higher values indicate flies that exhibited greater starvation resistance.",Everman and Morgan (2017) Evolution,Adult
starvation.resistance.young.m,Stress response,"Mean hours survived on inedible food medium, used as a measure of starvation resistance. These flies were reared at 25C and the stravation trial started when adults were 7-days old.  Higher values indicate flies that exhibited greater starvation resistance.",Everman and Morgan (2017) Evolution,Adult
succinate.high.yeast.f,Metabolome,Mean relative succinate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
succinate.low.yeast.f,Metabolome,Mean relative succinate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
sucrose.high.yeast.f,Metabolome,Mean relative sucrose concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
sucrose.low.yeast.f,Metabolome,Mean relative sucrose concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
tapped.same.sex.m,Behavioural,"Incidence of a male being tapped by an interacting male, sourced from a wildtype laboratory strain. Higher values indicate a greater incidence of being tapped.",Bailey and Hoskins (2014) Evolution,Adult
tapping.same.sex.m,Behavioural,Male tapping; in this case when a male brings the tarsus of a foreleg into contact with another male. Higher values indicate a greater incidence of tapping.,Bailey and Hoskins (2014) Evolution,Adult
taurine.high.yeast.f,Metabolome,Mean relative taurine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
taurine.low.yeast.f,Metabolome,Mean relative taurine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
tergite5.f,Morphological,Mean pigmentation scores for tergite 5. Higher values indicate higher percentages of brown/black melanin on the tergite.,Dembeck et al (2015) PLOS Genetics,Adult
tergite6.f,Morphological,Mean pigmentation scores for tergite 6. Higher values indicate higher percentages of brown/black melanin on the tergite.,Dembeck et al (2015) PLOS Genetics,Adult
thorax.length.18C.f,Morphological,Mean adult thorax length when reared at 18C. Higher values indicate larger flies.,"Lafuente, Duneau and Beldade (2018) PLOS Genetics",Adult
thorax.length.28C.f,Morphological,Mean adult thorax length when reared at 28C. Higher values indicate larger flies.,"Lafuente, Duneau and Beldade (2018) PLOS Genetics",Adult
thorax.length.f,Morphological,Mean thorax length (mm). The authors use this as a proxy for body size. Higher values indicate a longer thorax.,Zhou et al (2020) Genome Research,Adult
thorax.length.m,Morphological,Mean thorax length (mm). The authors use this as a proxy for body size. Higher values indicate a longer thorax.,Zhou et al (2020) Genome Research,Adult
thorax.length.thermal.plasticity.f,Morphological,"Flies were reared at 18C and 28C, after which adult thorax lengths were measured. Reaction norms for each DGRP line were calculated using the linear model lm (Size ~ Temperature). The absolute value of the slope is a measurement of thermal sensitivity, describing the magnitude of the plastic response to temperature. Higher values indicate greater thermal plasticity.","Lafuente, Duneau and Beldade (2018) PLOS Genetics",Adult
thorax.width.f,Morphological,Mean thorax width (mm). The authors use this as a proxy for body size. Higher values indicate a wider thorax.,Zhou et al (2020) Genome Research,Adult
thorax.width.m,Morphological,Mean thorax width (mm). The authors use this as a proxy for body size. Higher values indicate a wider thorax.,Zhou et al (2020) Genome Research,Adult
threonine.high.yeast.f,Metabolome,Mean relative threonine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
threonine.low.yeast.f,Metabolome,Mean relative threonine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,Adult
traumatic.injury.mortality,Stress response,"The mean percentage of flies that died within 24 hours, after suffering traumatic injury. Higher values indicate greater mortality.",Katzenberger et al (2015) eLife,Adult
triacylglycerol.2018.f,Metabolome,Mean quantity of triacylglycerol per adult fly. Higher values indicate a higher triacylglycerol content.,Jehrke et al (2018) Scientific Reports,Adult
triacylglycerol.2018.m,Metabolome,Mean quantity of triacylglycerol per adult fly. Higher values indicate a higher triacylglycerol content.,Jehrke et al (2018) Scientific Reports,Adult
triacylglycerol.larvae.2018,Metabolome,Mean quantity of triacylglycerol per third instar larvae. Higher values indicate a higher triacylglycerol content.,Jehrke et al (2018) Scientific Reports,Juvenile
